cache_index,dataset,reference,split
323,kadid10k,kadid10k/i03,train
324,kadid10k,kadid10k/i03,train
325,kadid10k,kadid10k/i03,train
326,kadid10k,kadid10k/i03,train
327,kadid10k,kadid10k/i03,train
328,kadid10k,kadid10k/i03,train
329,kadid10k,kadid10k/i03,train
330,kadid10k,kadid10k/i03,train
331,kadid10k,kadid10k/i03,train
332,kadid10k,kadid10k/i03,train
333,kadid10k,kadid10k/i03,train
334,kadid10k,kadid10k/i03,train
335,kadid10k,kadid10k/i03,train
336,kadid10k,kadid10k/i03,train
337,kadid10k,kadid10k/i03,train
338,kadid10k,kadid10k/i03,train
339,kadid10k,kadid10k/i03,train
340,kadid10k,kadid10k/i03,train
341,kadid10k,kadid10k/i03,train
342,kadid10k,kadid10k/i03,train
343,kadid10k,kadid10k/i03,train
344,kadid10k,kadid10k/i03,train
345,kadid10k,kadid10k/i03,train
346,kadid10k,kadid10k/i03,train
347,kadid10k,kadid10k/i03,train
348,kadid10k,kadid10k/i03,train
349,kadid10k,kadid10k/i03,train
350,kadid10k,kadid10k/i03,train
351,kadid10k,kadid10k/i03,train
352,kadid10k,kadid10k/i03,train
353,kadid10k,kadid10k/i03,train
354,kadid10k,kadid10k/i03,train
355,kadid10k,kadid10k/i03,train
356,kadid10k,kadid10k/i03,train
357,kadid10k,kadid10k/i03,train
358,kadid10k,kadid10k/i03,train
359,kadid10k,kadid10k/i03,train
360,kadid10k,kadid10k/i03,train
361,kadid10k,kadid10k/i03,train
362,kadid10k,kadid10k/i03,train
363,kadid10k,kadid10k/i03,train
364,kadid10k,kadid10k/i03,train
365,kadid10k,kadid10k/i03,train
366,kadid10k,kadid10k/i03,train
367,kadid10k,kadid10k/i03,train
368,kadid10k,kadid10k/i03,train
369,kadid10k,kadid10k/i03,train
370,kadid10k,kadid10k/i03,train
371,kadid10k,kadid10k/i03,train
372,kadid10k,kadid10k/i03,train
373,kadid10k,kadid10k/i03,train
374,kadid10k,kadid10k/i03,train
375,kadid10k,kadid10k/i04,train
376,kadid10k,kadid10k/i04,train
377,kadid10k,kadid10k/i04,train
378,kadid10k,kadid10k/i04,train
379,kadid10k,kadid10k/i04,train
380,kadid10k,kadid10k/i04,train
381,kadid10k,kadid10k/i04,train
382,kadid10k,kadid10k/i04,train
383,kadid10k,kadid10k/i04,train
384,kadid10k,kadid10k/i04,train
385,kadid10k,kadid10k/i04,train
386,kadid10k,kadid10k/i04,train
387,kadid10k,kadid10k/i04,train
388,kadid10k,kadid10k/i04,train
389,kadid10k,kadid10k/i04,train
390,kadid10k,kadid10k/i04,train
391,kadid10k,kadid10k/i04,train
392,kadid10k,kadid10k/i04,train
393,kadid10k,kadid10k/i04,train
394,kadid10k,kadid10k/i04,train
395,kadid10k,kadid10k/i04,train
396,kadid10k,kadid10k/i04,train
397,kadid10k,kadid10k/i04,train
398,kadid10k,kadid10k/i04,train
399,kadid10k,kadid10k/i04,train
400,kadid10k,kadid10k/i04,train
401,kadid10k,kadid10k/i04,train
402,kadid10k,kadid10k/i04,train
403,kadid10k,kadid10k/i04,train
404,kadid10k,kadid10k/i04,train
405,kadid10k,kadid10k/i04,train
406,kadid10k,kadid10k/i04,train
407,kadid10k,kadid10k/i04,train
408,kadid10k,kadid10k/i04,train
409,kadid10k,kadid10k/i04,train
410,kadid10k,kadid10k/i04,train
411,kadid10k,kadid10k/i04,train
412,kadid10k,kadid10k/i04,train
413,kadid10k,kadid10k/i04,train
414,kadid10k,kadid10k/i04,train
415,kadid10k,kadid10k/i04,train
416,kadid10k,kadid10k/i04,train
417,kadid10k,kadid10k/i04,train
418,kadid10k,kadid10k/i04,train
419,kadid10k,kadid10k/i04,train
420,kadid10k,kadid10k/i04,train
421,kadid10k,kadid10k/i04,train
422,kadid10k,kadid10k/i04,train
423,kadid10k,kadid10k/i04,train
424,kadid10k,kadid10k/i04,train
425,kadid10k,kadid10k/i04,train
426,kadid10k,kadid10k/i04,train
427,kadid10k,kadid10k/i04,train
428,kadid10k,kadid10k/i04,train
429,kadid10k,kadid10k/i04,train
430,kadid10k,kadid10k/i04,train
431,kadid10k,kadid10k/i04,train
432,kadid10k,kadid10k/i04,train
433,kadid10k,kadid10k/i04,train
434,kadid10k,kadid10k/i04,train
435,kadid10k,kadid10k/i04,train
436,kadid10k,kadid10k/i04,train
437,kadid10k,kadid10k/i04,train
438,kadid10k,kadid10k/i04,train
439,kadid10k,kadid10k/i04,train
440,kadid10k,kadid10k/i04,train
441,kadid10k,kadid10k/i04,train
442,kadid10k,kadid10k/i04,train
443,kadid10k,kadid10k/i04,train
444,kadid10k,kadid10k/i04,train
445,kadid10k,kadid10k/i04,train
446,kadid10k,kadid10k/i04,train
447,kadid10k,kadid10k/i04,train
448,kadid10k,kadid10k/i04,train
449,kadid10k,kadid10k/i04,train
450,kadid10k,kadid10k/i04,train
451,kadid10k,kadid10k/i04,train
452,kadid10k,kadid10k/i04,train
453,kadid10k,kadid10k/i04,train
454,kadid10k,kadid10k/i04,train
455,kadid10k,kadid10k/i04,train
456,kadid10k,kadid10k/i04,train
457,kadid10k,kadid10k/i04,train
458,kadid10k,kadid10k/i04,train
459,kadid10k,kadid10k/i04,train
460,kadid10k,kadid10k/i04,train
461,kadid10k,kadid10k/i04,train
462,kadid10k,kadid10k/i04,train
463,kadid10k,kadid10k/i04,train
464,kadid10k,kadid10k/i04,train
465,kadid10k,kadid10k/i04,train
466,kadid10k,kadid10k/i04,train
467,kadid10k,kadid10k/i04,train
468,kadid10k,kadid10k/i04,train
469,kadid10k,kadid10k/i04,train
470,kadid10k,kadid10k/i04,train
471,kadid10k,kadid10k/i04,train
472,kadid10k,kadid10k/i04,train
473,kadid10k,kadid10k/i04,train
474,kadid10k,kadid10k/i04,train
475,kadid10k,kadid10k/i04,train
476,kadid10k,kadid10k/i04,train
477,kadid10k,kadid10k/i04,train
478,kadid10k,kadid10k/i04,train
479,kadid10k,kadid10k/i04,train
480,kadid10k,kadid10k/i04,train
481,kadid10k,kadid10k/i04,train
482,kadid10k,kadid10k/i04,train
483,kadid10k,kadid10k/i04,train
484,kadid10k,kadid10k/i04,train
485,kadid10k,kadid10k/i04,train
486,kadid10k,kadid10k/i04,train
487,kadid10k,kadid10k/i04,train
488,kadid10k,kadid10k/i04,train
489,kadid10k,kadid10k/i04,train
490,kadid10k,kadid10k/i04,train
491,kadid10k,kadid10k/i04,train
492,kadid10k,kadid10k/i04,train
493,kadid10k,kadid10k/i04,train
494,kadid10k,kadid10k/i04,train
495,kadid10k,kadid10k/i04,train
496,kadid10k,kadid10k/i04,train
497,kadid10k,kadid10k/i04,train
498,kadid10k,kadid10k/i04,train
499,kadid10k,kadid10k/i04,train
625,kadid10k,kadid10k/i06,train
626,kadid10k,kadid10k/i06,train
627,kadid10k,kadid10k/i06,train
628,kadid10k,kadid10k/i06,train
629,kadid10k,kadid10k/i06,train
630,kadid10k,kadid10k/i06,train
631,kadid10k,kadid10k/i06,train
632,kadid10k,kadid10k/i06,train
633,kadid10k,kadid10k/i06,train
634,kadid10k,kadid10k/i06,train
635,kadid10k,kadid10k/i06,train
636,kadid10k,kadid10k/i06,train
637,kadid10k,kadid10k/i06,train
638,kadid10k,kadid10k/i06,train
639,kadid10k,kadid10k/i06,train
640,kadid10k,kadid10k/i06,train
641,kadid10k,kadid10k/i06,train
642,kadid10k,kadid10k/i06,train
643,kadid10k,kadid10k/i06,train
644,kadid10k,kadid10k/i06,train
645,kadid10k,kadid10k/i06,train
646,kadid10k,kadid10k/i06,train
647,kadid10k,kadid10k/i06,train
648,kadid10k,kadid10k/i06,train
649,kadid10k,kadid10k/i06,train
650,kadid10k,kadid10k/i06,train
651,kadid10k,kadid10k/i06,train
652,kadid10k,kadid10k/i06,train
653,kadid10k,kadid10k/i06,train
654,kadid10k,kadid10k/i06,train
655,kadid10k,kadid10k/i06,train
656,kadid10k,kadid10k/i06,train
657,kadid10k,kadid10k/i06,train
658,kadid10k,kadid10k/i06,train
659,kadid10k,kadid10k/i06,train
660,kadid10k,kadid10k/i06,train
661,kadid10k,kadid10k/i06,train
662,kadid10k,kadid10k/i06,train
663,kadid10k,kadid10k/i06,train
664,kadid10k,kadid10k/i06,train
665,kadid10k,kadid10k/i06,train
666,kadid10k,kadid10k/i06,train
667,kadid10k,kadid10k/i06,train
668,kadid10k,kadid10k/i06,train
669,kadid10k,kadid10k/i06,train
670,kadid10k,kadid10k/i06,train
671,kadid10k,kadid10k/i06,train
672,kadid10k,kadid10k/i06,train
673,kadid10k,kadid10k/i06,train
674,kadid10k,kadid10k/i06,train
675,kadid10k,kadid10k/i06,train
676,kadid10k,kadid10k/i06,train
677,kadid10k,kadid10k/i06,train
678,kadid10k,kadid10k/i06,train
679,kadid10k,kadid10k/i06,train
680,kadid10k,kadid10k/i06,train
681,kadid10k,kadid10k/i06,train
682,kadid10k,kadid10k/i06,train
683,kadid10k,kadid10k/i06,train
684,kadid10k,kadid10k/i06,train
685,kadid10k,kadid10k/i06,train
686,kadid10k,kadid10k/i06,train
687,kadid10k,kadid10k/i06,train
688,kadid10k,kadid10k/i06,train
689,kadid10k,kadid10k/i06,train
690,kadid10k,kadid10k/i06,train
691,kadid10k,kadid10k/i06,train
692,kadid10k,kadid10k/i06,train
693,kadid10k,kadid10k/i06,train
694,kadid10k,kadid10k/i06,train
695,kadid10k,kadid10k/i06,train
696,kadid10k,kadid10k/i06,train
697,kadid10k,kadid10k/i06,train
698,kadid10k,kadid10k/i06,train
699,kadid10k,kadid10k/i06,train
700,kadid10k,kadid10k/i06,train
701,kadid10k,kadid10k/i06,train
702,kadid10k,kadid10k/i06,train
703,kadid10k,kadid10k/i06,train
704,kadid10k,kadid10k/i06,train
705,kadid10k,kadid10k/i06,train
706,kadid10k,kadid10k/i06,train
707,kadid10k,kadid10k/i06,train
708,kadid10k,kadid10k/i06,train
709,kadid10k,kadid10k/i06,train
710,kadid10k,kadid10k/i06,train
711,kadid10k,kadid10k/i06,train
712,kadid10k,kadid10k/i06,train
713,kadid10k,kadid10k/i06,train
714,kadid10k,kadid10k/i06,train
715,kadid10k,kadid10k/i06,train
716,kadid10k,kadid10k/i06,train
717,kadid10k,kadid10k/i06,train
718,kadid10k,kadid10k/i06,train
719,kadid10k,kadid10k/i06,train
720,kadid10k,kadid10k/i06,train
721,kadid10k,kadid10k/i06,train
722,kadid10k,kadid10k/i06,train
723,kadid10k,kadid10k/i06,train
724,kadid10k,kadid10k/i06,train
725,kadid10k,kadid10k/i06,train
726,kadid10k,kadid10k/i06,train
727,kadid10k,kadid10k/i06,train
728,kadid10k,kadid10k/i06,train
729,kadid10k,kadid10k/i06,train
730,kadid10k,kadid10k/i06,train
731,kadid10k,kadid10k/i06,train
732,kadid10k,kadid10k/i06,train
733,kadid10k,kadid10k/i06,train
734,kadid10k,kadid10k/i06,train
735,kadid10k,kadid10k/i06,train
736,kadid10k,kadid10k/i06,train
737,kadid10k,kadid10k/i06,train
738,kadid10k,kadid10k/i06,train
739,kadid10k,kadid10k/i06,train
740,kadid10k,kadid10k/i06,train
741,kadid10k,kadid10k/i06,train
742,kadid10k,kadid10k/i06,train
743,kadid10k,kadid10k/i06,train
744,kadid10k,kadid10k/i06,train
745,kadid10k,kadid10k/i06,train
746,kadid10k,kadid10k/i06,train
747,kadid10k,kadid10k/i06,train
748,kadid10k,kadid10k/i06,train
749,kadid10k,kadid10k/i06,train
750,kadid10k,kadid10k/i07,train
751,kadid10k,kadid10k/i07,train
752,kadid10k,kadid10k/i07,train
753,kadid10k,kadid10k/i07,train
754,kadid10k,kadid10k/i07,train
755,kadid10k,kadid10k/i07,train
756,kadid10k,kadid10k/i07,train
757,kadid10k,kadid10k/i07,train
758,kadid10k,kadid10k/i07,train
759,kadid10k,kadid10k/i07,train
760,kadid10k,kadid10k/i07,train
761,kadid10k,kadid10k/i07,train
762,kadid10k,kadid10k/i07,train
763,kadid10k,kadid10k/i07,train
764,kadid10k,kadid10k/i07,train
765,kadid10k,kadid10k/i07,train
766,kadid10k,kadid10k/i07,train
767,kadid10k,kadid10k/i07,train
768,kadid10k,kadid10k/i07,train
769,kadid10k,kadid10k/i07,train
770,kadid10k,kadid10k/i07,train
771,kadid10k,kadid10k/i07,train
772,kadid10k,kadid10k/i07,train
773,kadid10k,kadid10k/i07,train
774,kadid10k,kadid10k/i07,train
775,kadid10k,kadid10k/i07,train
776,kadid10k,kadid10k/i07,train
777,kadid10k,kadid10k/i07,train
778,kadid10k,kadid10k/i07,train
779,kadid10k,kadid10k/i07,train
780,kadid10k,kadid10k/i07,train
781,kadid10k,kadid10k/i07,train
782,kadid10k,kadid10k/i07,train
783,kadid10k,kadid10k/i07,train
784,kadid10k,kadid10k/i07,train
785,kadid10k,kadid10k/i07,train
786,kadid10k,kadid10k/i07,train
787,kadid10k,kadid10k/i07,train
788,kadid10k,kadid10k/i07,train
789,kadid10k,kadid10k/i07,train
790,kadid10k,kadid10k/i07,train
791,kadid10k,kadid10k/i07,train
792,kadid10k,kadid10k/i07,train
793,kadid10k,kadid10k/i07,train
794,kadid10k,kadid10k/i07,train
795,kadid10k,kadid10k/i07,train
796,kadid10k,kadid10k/i07,train
797,kadid10k,kadid10k/i07,train
798,kadid10k,kadid10k/i07,train
799,kadid10k,kadid10k/i07,train
800,kadid10k,kadid10k/i07,train
801,kadid10k,kadid10k/i07,train
802,kadid10k,kadid10k/i07,train
803,kadid10k,kadid10k/i07,train
804,kadid10k,kadid10k/i07,train
805,kadid10k,kadid10k/i07,train
806,kadid10k,kadid10k/i07,train
807,kadid10k,kadid10k/i07,train
808,kadid10k,kadid10k/i07,train
809,kadid10k,kadid10k/i07,train
810,kadid10k,kadid10k/i07,train
811,kadid10k,kadid10k/i07,train
812,kadid10k,kadid10k/i07,train
813,kadid10k,kadid10k/i07,train
814,kadid10k,kadid10k/i07,train
815,kadid10k,kadid10k/i07,train
816,kadid10k,kadid10k/i07,train
817,kadid10k,kadid10k/i07,train
818,kadid10k,kadid10k/i07,train
819,kadid10k,kadid10k/i07,train
820,kadid10k,kadid10k/i07,train
821,kadid10k,kadid10k/i07,train
822,kadid10k,kadid10k/i07,train
823,kadid10k,kadid10k/i07,train
824,kadid10k,kadid10k/i07,train
825,kadid10k,kadid10k/i07,train
826,kadid10k,kadid10k/i07,train
827,kadid10k,kadid10k/i07,train
828,kadid10k,kadid10k/i07,train
829,kadid10k,kadid10k/i07,train
830,kadid10k,kadid10k/i07,train
831,kadid10k,kadid10k/i07,train
832,kadid10k,kadid10k/i07,train
833,kadid10k,kadid10k/i07,train
834,kadid10k,kadid10k/i07,train
835,kadid10k,kadid10k/i07,train
836,kadid10k,kadid10k/i07,train
837,kadid10k,kadid10k/i07,train
838,kadid10k,kadid10k/i07,train
839,kadid10k,kadid10k/i07,train
840,kadid10k,kadid10k/i07,train
841,kadid10k,kadid10k/i07,train
842,kadid10k,kadid10k/i07,train
843,kadid10k,kadid10k/i07,train
844,kadid10k,kadid10k/i07,train
845,kadid10k,kadid10k/i07,train
846,kadid10k,kadid10k/i07,train
847,kadid10k,kadid10k/i07,train
848,kadid10k,kadid10k/i07,train
849,kadid10k,kadid10k/i07,train
850,kadid10k,kadid10k/i07,train
851,kadid10k,kadid10k/i07,train
852,kadid10k,kadid10k/i07,train
853,kadid10k,kadid10k/i07,train
854,kadid10k,kadid10k/i07,train
855,kadid10k,kadid10k/i07,train
856,kadid10k,kadid10k/i07,train
857,kadid10k,kadid10k/i07,train
858,kadid10k,kadid10k/i07,train
859,kadid10k,kadid10k/i07,train
860,kadid10k,kadid10k/i07,train
861,kadid10k,kadid10k/i07,train
862,kadid10k,kadid10k/i07,train
863,kadid10k,kadid10k/i07,train
864,kadid10k,kadid10k/i07,train
865,kadid10k,kadid10k/i07,train
866,kadid10k,kadid10k/i07,train
867,kadid10k,kadid10k/i07,train
868,kadid10k,kadid10k/i07,train
869,kadid10k,kadid10k/i07,train
870,kadid10k,kadid10k/i07,train
871,kadid10k,kadid10k/i07,train
872,kadid10k,kadid10k/i07,train
873,kadid10k,kadid10k/i07,train
874,kadid10k,kadid10k/i07,train
875,kadid10k,kadid10k/i08,train
876,kadid10k,kadid10k/i08,train
877,kadid10k,kadid10k/i08,train
878,kadid10k,kadid10k/i08,train
879,kadid10k,kadid10k/i08,train
880,kadid10k,kadid10k/i08,train
881,kadid10k,kadid10k/i08,train
882,kadid10k,kadid10k/i08,train
883,kadid10k,kadid10k/i08,train
884,kadid10k,kadid10k/i08,train
885,kadid10k,kadid10k/i08,train
886,kadid10k,kadid10k/i08,train
887,kadid10k,kadid10k/i08,train
888,kadid10k,kadid10k/i08,train
889,kadid10k,kadid10k/i08,train
890,kadid10k,kadid10k/i08,train
891,kadid10k,kadid10k/i08,train
892,kadid10k,kadid10k/i08,train
893,kadid10k,kadid10k/i08,train
894,kadid10k,kadid10k/i08,train
895,kadid10k,kadid10k/i08,train
896,kadid10k,kadid10k/i08,train
897,kadid10k,kadid10k/i08,train
898,kadid10k,kadid10k/i08,train
899,kadid10k,kadid10k/i08,train
900,kadid10k,kadid10k/i08,train
901,kadid10k,kadid10k/i08,train
902,kadid10k,kadid10k/i08,train
903,kadid10k,kadid10k/i08,train
904,kadid10k,kadid10k/i08,train
905,kadid10k,kadid10k/i08,train
906,kadid10k,kadid10k/i08,train
907,kadid10k,kadid10k/i08,train
908,kadid10k,kadid10k/i08,train
909,kadid10k,kadid10k/i08,train
910,kadid10k,kadid10k/i08,train
911,kadid10k,kadid10k/i08,train
912,kadid10k,kadid10k/i08,train
913,kadid10k,kadid10k/i08,train
914,kadid10k,kadid10k/i08,train
915,kadid10k,kadid10k/i08,train
916,kadid10k,kadid10k/i08,train
917,kadid10k,kadid10k/i08,train
918,kadid10k,kadid10k/i08,train
919,kadid10k,kadid10k/i08,train
920,kadid10k,kadid10k/i08,train
921,kadid10k,kadid10k/i08,train
922,kadid10k,kadid10k/i08,train
923,kadid10k,kadid10k/i08,train
924,kadid10k,kadid10k/i08,train
925,kadid10k,kadid10k/i08,train
926,kadid10k,kadid10k/i08,train
927,kadid10k,kadid10k/i08,train
928,kadid10k,kadid10k/i08,train
929,kadid10k,kadid10k/i08,train
930,kadid10k,kadid10k/i08,train
931,kadid10k,kadid10k/i08,train
932,kadid10k,kadid10k/i08,train
933,kadid10k,kadid10k/i08,train
934,kadid10k,kadid10k/i08,train
935,kadid10k,kadid10k/i08,train
936,kadid10k,kadid10k/i08,train
937,kadid10k,kadid10k/i08,train
938,kadid10k,kadid10k/i08,train
939,kadid10k,kadid10k/i08,train
940,kadid10k,kadid10k/i08,train
941,kadid10k,kadid10k/i08,train
942,kadid10k,kadid10k/i08,train
943,kadid10k,kadid10k/i08,train
944,kadid10k,kadid10k/i08,train
945,kadid10k,kadid10k/i08,train
946,kadid10k,kadid10k/i08,train
947,kadid10k,kadid10k/i08,train
948,kadid10k,kadid10k/i08,train
949,kadid10k,kadid10k/i08,train
950,kadid10k,kadid10k/i08,train
951,kadid10k,kadid10k/i08,train
952,kadid10k,kadid10k/i08,train
953,kadid10k,kadid10k/i08,train
954,kadid10k,kadid10k/i08,train
955,kadid10k,kadid10k/i08,train
956,kadid10k,kadid10k/i08,train
957,kadid10k,kadid10k/i08,train
958,kadid10k,kadid10k/i08,train
959,kadid10k,kadid10k/i08,train
960,kadid10k,kadid10k/i08,train
961,kadid10k,kadid10k/i08,train
962,kadid10k,kadid10k/i08,train
963,kadid10k,kadid10k/i08,train
964,kadid10k,kadid10k/i08,train
965,kadid10k,kadid10k/i08,train
966,kadid10k,kadid10k/i08,train
967,kadid10k,kadid10k/i08,train
968,kadid10k,kadid10k/i08,train
969,kadid10k,kadid10k/i08,train
970,kadid10k,kadid10k/i08,train
971,kadid10k,kadid10k/i08,train
972,kadid10k,kadid10k/i08,train
973,kadid10k,kadid10k/i08,train
974,kadid10k,kadid10k/i08,train
975,kadid10k,kadid10k/i08,train
976,kadid10k,kadid10k/i08,train
977,kadid10k,kadid10k/i08,train
978,kadid10k,kadid10k/i08,train
979,kadid10k,kadid10k/i08,train
980,kadid10k,kadid10k/i08,train
981,kadid10k,kadid10k/i08,train
982,kadid10k,kadid10k/i08,train
983,kadid10k,kadid10k/i08,train
984,kadid10k,kadid10k/i08,train
